"scope","request_id","user_id","start_time","region"
"33467","99fa9ec2-34ea-4b07-b544-df2b4799","99fa9ec2-34ea-4b07-b544-df2b4799",2021-06-10 14:33:19,"[{""end_time"":1623306799295,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33469"",""region_type"":""DEFAULT"",""start_time"":1623306799295,""status"":""ENTER""},{""end_time"":1623306799295,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33468"",""region_type"":""STORE"",""start_time"":1623306799295,""status"":""ENTER""}]"
"33467","9a8f67e0-00e1-460b-b317-af0db99d","acc72e25-6ca0-487e-a0b6-85a7fc68",2021-06-10 17:46:40,"[{""end_time"":1623318400649,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33469"",""region_type"":""DEFAULT"",""start_time"":1623318400649,""status"":""ENTER""},{""end_time"":1623318400649,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33468"",""region_type"":""STORE"",""start_time"":1623318400649,""status"":""ENTER""}]"
"33467","9b90cdcc-fceb-4631-990f-d9b87f2d","75a0f7b9-c017-4184-82d6-5c32a615",2021-06-10 20:13:39,"[{""end_time"":1623327219118,""entrance_id"":""33523"",""entrance_type"":""REGION"",""region_id"":""33480"",""region_type"":""DEFAULT"",""start_time"":1623327219118,""status"":""ENTER""}]"
"33467","9be12f80-12e9-430e-bc71-f6377dac","9be12f80-12e9-430e-bc71-f6377dac",2021-06-10 20:32:41,"[{""end_time"":1623328361974,""entrance_id"":""33522"",""entrance_type"":""REGION"",""region_id"":""33480"",""region_type"":""DEFAULT"",""start_time"":1623328361974,""status"":""LEAVE""}]"
"33467","9c0def18-ecc4-4677-acc4-af095d27","fea2e44d-7a83-4484-b1e5-e8d67b51",2021-06-10 16:37:10,"[{""end_time"":1623314230670,""entrance_id"":""33523"",""entrance_type"":""REGION"",""region_id"":""33480"",""region_type"":""DEFAULT"",""start_time"":1623314230670,""status"":""ENTER""}]"
"33467","9c84f75a-7235-494c-9085-3a07eabe","4524dff8-65a8-40bd-b196-6312cada",2021-06-10 11:37:38,"[{""end_time"":1623296258358,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33469"",""region_type"":""DEFAULT"",""start_time"":1623296258358,""status"":""ENTER""},{""end_time"":1623296258358,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33468"",""region_type"":""STORE"",""start_time"":1623296258358,""status"":""ENTER""}]"
"33467","9d14cb78-ddf4-475d-b425-05958456","75a0f7b9-c017-4184-82d6-5c32a615",2021-06-10 15:45:39,"[{""end_time"":1623311139276,""entrance_id"":""33523"",""entrance_type"":""REGION"",""region_id"":""33480"",""region_type"":""DEFAULT"",""start_time"":1623311139276,""status"":""ENTER""}]"
"33467","9d9a882e-3df1-42d4-8987-dd1aa5dc","53ac8c50-eb39-493e-8e62-81fff5bf",2021-06-10 16:13:32,"[{""end_time"":1623312812398,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33469"",""region_type"":""DEFAULT"",""start_time"":1623312812398,""status"":""ENTER""},{""end_time"":1623312812398,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33468"",""region_type"":""STORE"",""start_time"":1623312812398,""status"":""ENTER""}]"
"33467","9e4a08b8-0acf-4060-8a96-18eb1edb","fbfae36b-c078-41e4-b9e5-4adcda6d",2021-06-10 13:36:18,"[{""end_time"":1623303378747,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33469"",""region_type"":""DEFAULT"",""start_time"":1623303378747,""status"":""ENTER""},{""end_time"":1623303378747,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33468"",""region_type"":""STORE"",""start_time"":1623303378747,""status"":""ENTER""}]"
"33467","9f59a275-1e19-4290-a33a-0852d790","1a391ff8-edf6-48fa-95e3-bd4c283d",2021-06-10 19:00:40,"[{""end_time"":1623322840697,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33469"",""region_type"":""DEFAULT"",""start_time"":1623322840697,""status"":""ENTER""},{""end_time"":1623322840697,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33468"",""region_type"":""STORE"",""start_time"":1623322840697,""status"":""ENTER""}]"
"33467","9f7d6835-2846-4b89-aa08-34aeccf8","1f90984a-4af0-4fc6-9868-8471de05",2021-06-10 10:43:05,"[{""end_time"":1623292985653,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33469"",""region_type"":""DEFAULT"",""start_time"":1623292985653,""status"":""ENTER""},{""end_time"":1623292985653,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33468"",""region_type"":""STORE"",""start_time"":1623292985653,""status"":""ENTER""}]"
"33467","9ff1aeec-556c-412a-96a8-bf674efe","64b391b2-b685-4ed3-8127-0197341a",2021-06-10 19:28:45,"[{""end_time"":1623324525931,""entrance_id"":""33523"",""entrance_type"":""REGION"",""region_id"":""33480"",""region_type"":""DEFAULT"",""start_time"":1623324525931,""status"":""ENTER""}]"
"33467","a0b705ee-ca5c-4f05-8818-382ac3f0","a0b705ee-ca5c-4f05-8818-382ac3f0",2021-06-10 13:15:13,"[{""end_time"":1623302113900,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33469"",""region_type"":""DEFAULT"",""start_time"":1623302113900,""status"":""LEAVE""},{""end_time"":1623302113900,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33468"",""region_type"":""STORE"",""start_time"":1623302113900,""status"":""LEAVE""}]"
"33467","a1312c3d-0f0a-4956-b3b4-3aba9826","a1312c3d-0f0a-4956-b3b4-3aba9826",2021-06-10 12:40:37,"[{""end_time"":1623300037084,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33469"",""region_type"":""DEFAULT"",""start_time"":1623300037084,""status"":""ENTER""},{""end_time"":1623300037084,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33468"",""region_type"":""STORE"",""start_time"":1623300037084,""status"":""ENTER""}]"
"33467","a1cab757-881c-4069-8d16-2cee947f","1f90984a-4af0-4fc6-9868-8471de05",2021-06-10 19:49:56,"[{""end_time"":1623325796199,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33469"",""region_type"":""DEFAULT"",""start_time"":1623325796199,""status"":""ENTER""},{""end_time"":1623325796199,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33468"",""region_type"":""STORE"",""start_time"":1623325796199,""status"":""ENTER""}]"
"33467","a2a8d118-715d-47a9-ad10-fd1d4a7f","acc72e25-6ca0-487e-a0b6-85a7fc68",2021-06-10 09:33:46,"[{""end_time"":1623288826860,""entrance_id"":""33523"",""entrance_type"":""REGION"",""region_id"":""33480"",""region_type"":""DEFAULT"",""start_time"":1623288826860,""status"":""ENTER""}]"
"33467","a2d4ef31-9602-4f6e-8693-406fbd06","47102148-1309-4c62-bd90-7fb127aa",2021-06-10 14:30:49,"[{""end_time"":1623306649936,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33469"",""region_type"":""DEFAULT"",""start_time"":1623306649936,""status"":""ENTER""},{""end_time"":1623306649936,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33468"",""region_type"":""STORE"",""start_time"":1623306649936,""status"":""ENTER""}]"
"33467","a2fadf80-452e-4b90-a474-519412d2","b743dc5d-8678-48a5-a384-b4c5c54eb6d9",2021-06-10 10:58:02,"[{""end_time"":1623293882021,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33469"",""region_type"":""DEFAULT"",""start_time"":1623293882021,""status"":""ENTER""},{""end_time"":1623293882021,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33468"",""region_type"":""STORE"",""start_time"":1623293882021,""status"":""ENTER""}]"
"33467","a363cf62-b6c4-424e-89c2-b0facedc","a363cf62-b6c4-424e-89c2-b0facedc",2021-06-10 13:23:03,"[{""end_time"":1623302583797,""entrance_id"":""33523"",""entrance_type"":""REGION"",""region_id"":""33480"",""region_type"":""DEFAULT"",""start_time"":1623302583797,""status"":""ENTER""}]"
"33467","a36a1f52-5ff0-41f0-9a11-0ab0d9c7","80ce019f-321a-4400-a6e7-9f46bd6d",2021-06-10 10:16:27,"[{""end_time"":1623291387315,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33469"",""region_type"":""DEFAULT"",""start_time"":1623291387315,""status"":""ENTER""},{""end_time"":1623291387315,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33468"",""region_type"":""STORE"",""start_time"":1623291387315,""status"":""ENTER""}]"
"33467","a3b8e191-6076-49ec-a5aa-2f935a76","ee8682e2-2f8c-4b17-8006-4e816a11",2021-06-10 19:55:38,"[{""end_time"":1623326138537,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33469"",""region_type"":""DEFAULT"",""start_time"":1623326138537,""status"":""ENTER""},{""end_time"":1623326138537,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33468"",""region_type"":""STORE"",""start_time"":1623326138537,""status"":""ENTER""}]"
"33467","a4944dfe-0897-4283-a44d-c33ee10e","bedc8ab7-44fb-4715-9d51-ac2a9946",2021-06-10 12:08:52,"[{""end_time"":1623298132215,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33469"",""region_type"":""DEFAULT"",""start_time"":1623298132215,""status"":""ENTER""},{""end_time"":1623298132215,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33468"",""region_type"":""STORE"",""start_time"":1623298132215,""status"":""ENTER""}]"
"33467","a4a571c4-7d8f-42eb-9880-3e6bdba7","a4a571c4-7d8f-42eb-9880-3e6bdba7",2021-06-10 18:02:56,"[{""end_time"":1623319376033,""entrance_id"":""33523"",""entrance_type"":""REGION"",""region_id"":""33480"",""region_type"":""DEFAULT"",""start_time"":1623319376033,""status"":""ENTER""}]"
"33467","a65fc125-139e-4ef3-bc3c-56069667","a65fc125-139e-4ef3-bc3c-56069667",2021-06-10 14:05:48,"[{""end_time"":1623305148181,""entrance_id"":""33523"",""entrance_type"":""REGION"",""region_id"":""33480"",""region_type"":""DEFAULT"",""start_time"":1623305148181,""status"":""ENTER""}]"
"33467","a710e168-4dc5-4c14-b443-0de6ddd4","a710e168-4dc5-4c14-b443-0de6ddd4",2021-06-10 14:06:59,"[{""end_time"":1623305219835,""entrance_id"":""33523"",""entrance_type"":""REGION"",""region_id"":""33480"",""region_type"":""DEFAULT"",""start_time"":1623305219835,""status"":""ENTER""}]"
"33467","a75264e7-3b3c-4701-8a93-337df1a1","a75264e7-3b3c-4701-8a93-337df1a1",2021-06-10 11:33:01,"[{""end_time"":1623295981912,""entrance_id"":""33521"",""entrance_type"":""REGION"",""region_id"":""33515"",""region_type"":""GENERAL"",""start_time"":1623295981912,""status"":""ENTER""}]"
"33467","a7f4083b-bd3f-411f-a90e-c56b4b37","4524dff8-65a8-40bd-b196-6312cada",2021-06-10 20:04:18,"[{""end_time"":1623326658268,""entrance_id"":""33523"",""entrance_type"":""REGION"",""region_id"":""33480"",""region_type"":""DEFAULT"",""start_time"":1623326658268,""status"":""ENTER""}]"
"33467","a828abbc-53c4-4ceb-9c41-56a6a16f","c7703224-279b-4ebc-922d-f39f726e",2021-06-10 12:24:05,"[{""end_time"":1623299045390,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33469"",""region_type"":""DEFAULT"",""start_time"":1623299045390,""status"":""ENTER""},{""end_time"":1623299045390,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33468"",""region_type"":""STORE"",""start_time"":1623299045390,""status"":""ENTER""}]"
"33467","a979724a-f5ee-42c6-9422-0fee3d40","0a04aafb-546d-434f-9129-626dbe8b",2021-06-10 10:43:14,"[{""end_time"":1623292994167,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33469"",""region_type"":""DEFAULT"",""start_time"":1623292994167,""status"":""ENTER""},{""end_time"":1623292994167,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33468"",""region_type"":""STORE"",""start_time"":1623292994167,""status"":""ENTER""}]"
"33467","a9dfa8b0-cc24-46db-805a-4643e90c","64b391b2-b685-4ed3-8127-0197341a",2021-06-10 10:19:40,"[{""end_time"":1623291580725,""entrance_id"":""33523"",""entrance_type"":""REGION"",""region_id"":""33480"",""region_type"":""DEFAULT"",""start_time"":1623291580725,""status"":""ENTER""}]"
"33467","aaafc906-c0a2-4979-afab-348ac419","a1312c3d-0f0a-4956-b3b4-3aba9826",2021-06-10 20:23:02,"[{""end_time"":1623327782533,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33469"",""region_type"":""DEFAULT"",""start_time"":1623327782533,""status"":""ENTER""},{""end_time"":1623327782533,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33468"",""region_type"":""STORE"",""start_time"":1623327782533,""status"":""ENTER""}]"
